gap_id,프로세스,종류,내용,제안_담당,선행,관련_row_id
G-25,P06,다 코드는 있는데 연결 안 됨,SQS 환경변수(SQS_ORDER_QUEUE_URL)만 있고 boto3 sqs 클라이언트 코드 0건,서희항,BLK-S2-5,STD-MFG-020
G-26,P06,라 결정 미정,T4-4 담당자가 「미정」이다,지니,없음,T4-4
G-27,P07,가 원장에 행 없음,우리 공정 마스터(t_proc_processes·t_prd_product_processes)와 MES 라우트의 정합 — 공정 정의가 두 개 생긴다,서희항+최숙진,없음,STD-MFG-082;STD-MFG-084
G-28,P07,가 원장에 행 없음,공정 단위 진행이 고객에게 가는지 여부 — FR-1 은 4단계만 말한다,서희항,BLK-S2-3,STD-MFG-088;STD-MFG-025
G-29,P07,가 원장에 행 없음,mand_proc_yn NULL 이 생산 라우트에 미치는 영향,서희항,없음,STD-MFG-083
G-30,P07,다 코드는 있는데 연결 안 됨,공정 마스터 2행은 이 프로세스에서 유일한 「작동」인데 생산 쪽으로 나가는 통로가 없다,서희항,G-27,STD-MFG-082;STD-MFG-083
G-31,P07,라 결정 미정,18케이스 라우트 목록·7팀 파트 구분 — 정의하는 일. MES 개발의 입력,최숙진,없음,STD-MFG-084;STD-MFG-087
G-32,P08,가 원장에 행 없음,외주처 마스터가 없다 — 8행 전부 「외주처별」이라 하는데 등록·관리 행이 없다,최숙진,1차 범위 결정,STD-MFG-100
G-33,P08,가 원장에 행 없음,어떤 공정이 상시 외주인지·외주 단가 그릇·외주 리드타임의 출고예정일 반영,최숙진,1차 범위 결정,STD-MFG-101;STD-ADO-019
G-34,P08,라 결정 미정,외주를 1차 런칭 범위에 넣을지 — 원장에 결정 행이 없다,신우진+최숙진,없음,—
G-35,P09,가 원장에 행 없음,상태 단위 전환(주문 → 주문상품옵션) — 지금 ord_sts 는 주문 단위다,서희항,없음,STD-MFG-023
G-36,P09,가 원장에 행 없음,보정 폴링(30분 대사) — 설계 §9.1 3중 방어의 ③인데 행이 없다,서희항,없음,—
G-37,P09,가 원장에 행 없음,TO-1 주문 조회 재확인(fail-closed) — 설계 §9.2 핵심 원칙인데 행이 없다,서희항,없음,—
G-38,P09,가 원장에 행 없음,TO-7 실패 웹훅 조회 — 샵바이 웹훅은 재전송이 없어 이게 없으면 유실분이 영영 안 온다,서희항,BLK-S2-2,—
G-39,P09,다 코드는 있는데 연결 안 됨,상태 상수 4개만 살아 있고 뒤 9칸이 비어 있다 · ORD_OWNED 가드와 shopby_client 는 이미 있다,서희항,없음,STD-MFG-022
G-40,P09,라 결정 미정,어떤 웹훅 이벤트를 구독했는지 확인 · 고객 셀프취소가 막히는 정확한 상태 실측,최숙진+신우진,없음,BLK-S2-2
G-41,P10,가 원장에 행 없음,택배사 코드 매핑(MES ↔ 샵바이 deliveryCompanyType) — 다르면 TO-3 이 그 자리에서 막힌다,서희항,T4-5,STD-MFG-029
G-42,P10,가 원장에 행 없음,분할 출고 시 샵바이 반영 규칙 · 송장 정정 업무 흐름,최숙진,T4-5,STD-MFG-114;STD-SHP-011
G-43,P10,라 결정 미정,출고·송장을 셀러어드민 수동 등록으로 갈지 API 로 갈지 — 1차 범위를 가장 크게 줄일 수 있는 결정,최숙진+신우진,없음,T4-5
G-44,P10,나 행은 있는데 코드 0,포장·바코드·출고완료·송장출력·납품명세서·합배송 코드 0건(전수 grep),최숙진,T4-5,STD-MFG-106~118
G-45,P11,가 원장에 행 없음,택배사 추적 링크 — 지금은 번호를 글자로만 보여 준다,김동학,없음,STD-SHP-014
G-46,P11,가 원장에 행 없음,주문 건별 배송지 변경 화면 — 있는 것은 회원 주소록이다,김동학+신우진,없음,STD-SHP-015
G-47,P11,가 원장에 행 없음,출고 전/후 판정 기준 상태가 정의되지 않았다,서희항,P09 상태머신,STD-MFG-017
G-48,P12,가 원장에 행 없음,재제작 주문과 원 주문을 잇는 식별 — 없으면 매출 이중 계상·원인 추적 단절,서희항,STD-CLM-015,STD-MFG-119
G-49,P12,가 원장에 행 없음,재제작 시 원고 회차 규칙 · 생산 쪽 불량 판정 기준 · 재출고 배송비 정산,최숙진,STD-CLM-015,STD-MFG-122
G-50,P12,라 결정 미정,재제작 처리 경로·클레임 범위 — 사람이 전화로 처리해도 웹훅 기록만은 남아야 한다,신우진+최숙진,BLK-S1-6,STD-CLM-015
G-51,P13,가 원장에 행 없음,cancelable 컬럼 DDL — 원자적 전환을 말하는데 플래그를 만드는 행이 없다,서희항,P09 상태머신,STD-MFG-026
G-52,P13,가 원장에 행 없음,게이트① 셀프 취소 웹훅(CANCEL_DONE) 소비 — FR-3 과 방향이 반대인데 행이 없다,서희항,P09,—
G-53,P13,가 원장에 행 없음,부분취소·수량변경 미지원을 명시적으로 결정한 행 · 취소 경합 알림 채널,신우진,없음,STD-MFG-033
G-54,P14,가 원장에 행 없음,주문번호로 사양·원고를 여는 우리 화면 — STD-ADO-002 가 샵바이 몫과 한 행으로 묶여 있다,서희항,없음,STD-ADO-002
G-55,P14,가 원장에 행 없음,세 시스템을 잇는 운영자 진입점 · 구 사이트 주문관리 기능 대응표,최숙진,없음,STD-ADO-025;STD-ADO-026
G-56,P14,라 결정 미정,운영 동선 — 셀러어드민만 쓸지 우리 통합 화면을 만들지,최숙진+신우진,없음,—
G-57,P15,가 원장에 행 없음,현황표의 「당일」 경계 · 산출 데이터의 주문 단위 · 우리 대시보드와 MES 현황표의 경계 · 자재 마스터 관계,최숙진,P07,STD-MFG-094;STD-MFG-098
G-58,P15,라 결정 미정,7역할 권한 매트릭스 — 정의하는 일,최숙진,없음,STD-MFG-132
G-59,P16,가 원장에 행 없음,거래처 마스터가 없다 · 오프라인 주문의 가격 산출과 원고 경로 · OEM 3사 연동 규격,최숙진,1차 범위 결정,STD-MFG-133;STD-MFG-071
G-60,P16,라 결정 미정,오프라인·OEM 을 1차 범위에 넣을지 — 웹 주문과 독립이라 가장 깨끗하게 뺄 수 있다,신우진+최숙진,없음,—
G-61,P16,라 결정 미정,현금영수증·세금계산서 발급 주체(Shopby/자체/외부),신우진,없음,BLK-S1-4
G-62,P17,가 원장에 행 없음,알림톡 템플릿 문안 초안 — 심사는 문안이 있어야 시작된다,최숙진,발송 채널 결정,STD-MFG-128
G-63,P17,가 원장에 행 없음,발송 채널 선택(샵바이 알림톡 vs 자체 비즈메시지) — 설계 §12-7 미결인데 행이 없다,최숙진+신우진,없음,—
G-64,P17,가 원장에 행 없음,발송 이력·실패 재발송 · 샵바이가 실제로 무엇을 보내는지 확인(경계 위반 감시),최숙진,없음,STD-MFG-130
G-65,P17,라 결정 미정,알림톡 카카오 심사 리드타임이 임계경로다 — 1·2 는 지금 당장 가능한데 개발보다 먼저 움직여야 한다,서희항+최숙진,G-63,STD-MFG-128;T5-2
